"DATE","SECT","total_pelicans","total_pelicans_injured","total_pelicans_dead"
2024-03-05,"A",5,1,0
2024-03-05,"B",0,0,0
2024-03-05,"C",2,0,0
2024-03-05,"D",6,1,0
2024-03-06,"A",5,0,0
2024-03-06,"B",1,0,0
2024-03-06,"C",4,0,0
2024-03-06,"D",65,1,0
2024-03-08,"A",12,2,0
2024-03-08,"B",0,0,0
2024-03-08,"C",8,0,0
2024-03-08,"D",6,1,0
2024-03-09,"A",9,0,0
2024-03-09,"B",0,0,0
2024-03-09,"C",0,0,0
2024-03-09,"D",6,0,0
2024-03-10,"A",15,1,0
2024-03-10,"B",1,0,0
2024-03-10,"C",0,0,0
2024-03-10,"D",2,0,0
2024-03-12,"A",50,5,0
2024-03-12,"B",17,0,0
2024-03-12,"C",12,0,0
2024-03-12,"D",5,0,0
2024-03-13,"A",23,2,0
2024-03-13,"B",6,0,0
2024-03-13,"C",0,0,0
2024-03-13,"D",12,1,0
2024-03-21,"A",0,0,0
2024-03-21,"B",1,0,0
2024-03-21,"C",4,0,0
2024-03-21,"D",11,0,0
2024-03-24,"A",30,2,0
2024-03-24,"B",8,1,0
2024-03-24,"C",6,0,0
2024-03-24,"D",2,0,0
2024-03-26,"A",17,2,0
2024-03-26,"B",5,0,0
2024-03-26,"C",1,0,0
2024-03-26,"D",6,0,0
2024-03-27,"A",43,4,0
2024-03-27,"B",43,0,0
2024-03-27,"C",3,0,0
2024-03-27,"D",13,0,0
2024-03-30,"A",61,2,0
2024-03-30,"B",24,0,0
2024-03-30,"C",20,0,0
2024-03-30,"D",29,0,0
2024-04-02,"A",14,0,0
2024-04-02,"B",7,0,0
2024-04-02,"C",2,0,0
2024-04-02,"D",14,0,0
2024-04-05,"A",1,0,0
2024-04-05,"B",0,0,0
2024-04-05,"C",1,0,0
2024-04-05,"D",0,0,0
2024-04-07,"A",34,2,0
2024-04-07,"B",16,0,0
2024-04-07,"C",0,0,0
2024-04-07,"D",1,0,0
2024-04-09,"A",24,2,0
2024-04-09,"B",26,0,0
2024-04-09,"C",21,1,0
2024-04-09,"D",19,1,0
2024-04-10,"A",4,0,0
2024-04-10,"B",12,0,0
2024-04-10,"C",11,0,0
2024-04-10,"D",6,1,0
2024-04-13,"A",48,0,0
2024-04-13,"B",0,0,0
2024-04-13,"C",4,0,0
2024-04-13,"D",8,0,0
2024-04-16,"A",10,0,0
2024-04-16,"B",10,1,0
